Date,Open,High,Low,Close,Volume,Total Income From Operations,Net P/L After M.I & Associates,Basic EPS,EPS_TTM,Annualized_Sales,Annualized_Profit,Equity Share Capital,Reserves,Borrowings,Total,Avg_Assets,Cash from Operating Activity,Daily_PE,Total_Equity,Net_Margin,Asset_Turnover,Equity_Multiplier,DuPont_ROE,Debt_to_Equity,Earnings_Quality,Earnings_Yield
2020-01-01,604.345388393747,606.1923924015477,601.7406554576465,605.5293579101562,3673698.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.957534880327755,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.163785721852642
2020-01-02,605.7189150214173,609.9812060575335,605.7189150214173,609.3892211914062,6137166.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,9.014633449577014,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.093074450486084
2020-01-03,607.234330313411,608.5603994443895,598.4256076891043,600.6988525390625,10855550.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.886077700281989,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.25355903615682
2020-01-06,596.720600771484,597.5730818969894,585.3544940901224,587.69873046875,10890186.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.693768202200443,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.502492092518573
2020-01-07,596.1997455707353,602.143238298382,593.0503748607391,597.0048217773438,14724494.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.831432274812776,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.323191628293381
2020-01-08,590.5402151248385,597.7387835308269,587.2725059352362,595.44189453125,11332110.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.808312049278845,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.352912957731466
2020-01-09,599.0886549789353,604.2034270944675,598.1888264645892,602.11962890625,9546316.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.90709510216346,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.22700485994708
2020-01-10,608.1341038414974,609.4601728526172,603.871813491343,607.4710693359375,9214580.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.986258422129252,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.128101964410842
2020-01-13,607.4710726189669,614.0066076489296,604.2980573544421,609.033935546875,7451568.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,9.009377744776256,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.099545699255554
2020-01-14,610.4547343969623,612.1359943771557,605.0084741599063,610.6915283203125,7886290.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,9.033898347933615,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.06941833398797
